cost,kappa,round,mean,ci,n
1,0.2,0,0.01528788292283624,0.004002090137166694,40.0
1,0.2,1,0.0029637021967494647,0.0012078816292846756,40.0
1,0.2,2,0.0005811206397260557,0.00022972583702392534,40.0
1,0.2,3,0.00010806874973118064,5.1596323274332256e-05,40.0
1,0.2,4,1.8035790999644852e-05,1.0671796157743722e-05,40.0
1,0.2,5,3.7066327656096036e-06,2.00751172494586e-06,40.0
1,0.2,6,8.32766203640627e-07,5.513038334144901e-07,40.0
1,0.2,7,1.8860300357856207e-07,1.35150504379821e-07,40.0
1,0.2,8,3.1879685828212484e-08,2.1447284893297332e-08,40.0
1,0.2,9,4.8612347848896395e-09,4.618594633634044e-09,40.0
1,0.4,0,0.014302642635360746,0.0033396908370372587,40.0
1,0.4,1,0.0030723174938796804,0.0013704306836144293,40.0
1,0.4,2,0.0007232975116514427,0.00041302116150657446,40.0
1,0.4,3,0.00018213262437940877,0.0001267233532450948,40.0
1,0.4,4,4.317687504936629e-05,2.5432972758681894e-05,40.0
1,0.4,5,1.3614943138536782e-05,1.0395194749635726e-05,40.0
1,0.4,6,3.1740701160132813e-06,3.137923888891407e-06,40.0
1,0.4,7,9.509653227954713e-07,1.1343995450927355e-06,40.0
1,0.4,8,2.0580861305300633e-07,2.3771285324456809e-07,40.0
1,0.4,9,1.7891747929876797e-08,1.4901116495118231e-08,40.0
5,0.2,0,0.024838098850374975,0.0031865101787191307,40.0
5,0.2,1,0.01173284307391729,0.0024929229887789366,40.0
5,0.2,2,0.007049276897228791,0.002021851052790891,40.0
5,0.2,3,0.004928034295753975,0.001572351646208492,40.0
5,0.2,4,0.0033673766692729713,0.0010970621752066849,40.0
5,0.2,5,0.0025052873505946897,0.000814233155728808,40.0
5,0.2,6,0.0018489324773998828,0.0006081240965191724,40.0
5,0.2,7,0.0014897896535959931,0.0005374073268628802,40.0
5,0.2,8,0.0011489849198009596,0.0004296964370862562,40.0
5,0.2,9,0.0008293935354876799,0.00034306367134272626,40.0
5,0.4,0,0.023573377289278614,0.004232107872082874,40.0
5,0.4,1,0.011177558688264788,0.0027605140228625447,40.0
5,0.4,2,0.006643167941656719,0.0019585960658120745,40.0
5,0.4,3,0.004206287501666199,0.001388136913982941,40.0
5,0.4,4,0.002855448525999021,0.0009349358311562275,40.0
5,0.4,5,0.001992079785966977,0.0005864151487038837,40.0
5,0.4,6,0.001476348384975167,0.0004176784145031108,40.0
5,0.4,7,0.001090053839746679,0.00031496968290610543,40.0
5,0.4,8,0.000827745497005166,0.0002653245986940161,40.0
5,0.4,9,0.000593642269298024,0.0002018926298581811,40.0
